"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U72300AR2012PTC008367","12-07-2012","PENTAWARE SOFTWARE PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","NEAR MAYA MOTORS NITI VIHAR ITANAGAR Arunachal Pradesh INDIA 791111","Indian Non-Government Company"
"U72900AR2012PTC008373","12-09-2012","MUGLI INFOTECH PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","MOWB-II, NEAR C.E. OFFICE (P.W.D) P.O. & P.S. ITANAGAR, DIST: PAMUMPARE ITANAGAR Arunachal Pradesh INDIA 791111","Indian Non-Government Company"
"U74120AR2011PTC008329","11-04-2011","SYMBIOS STUDIOS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","TRIBAL ADVENTURE TOURS TAKAR COMPLEX NAHARLAGUN Arunachal Pradesh INDIA 791110","Indian Non-Government Company"
"U74140AR1982PTC001945","11-05-1982","ALLIED WOOD PRODUCTS PVT LTD","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","650,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","P SECTOR ITANAGAR Arunachal Pradesh INDIA","Indian Non-Government Company"
"U74140AR1998PTC005305","16-01-1998","A.P.INDUSTRIAL & TECHNICAL CONSULTANCY ORGANISATION PVT LTD","STRIKE OFF","Private","Company Limited by Shares","2,000,000.00","114,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","A SECTOR NAHARLAGUN PAPUMPARE Arunachal Pradesh INDIA 791111","Indian Non-Government Company"
"U74140AR2002PTC006942","14-11-2002","POSITIVE PROJECTS & CONSULTANTS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","200,000.00","200,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","DIST - PAPUMPARE NAHARLAGUN Arunachal Pradesh INDIA","Indian Non-Government Company"
"U74140AR2006PTC008164","29-05-2006","ARUNACHAL PRADESH SECURITY CONSULTANTS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","300,000.00","150,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","E-SECTOR,ITANAGAR, DIST: PAPUMPARE, 791111 Arunachal Pradesh INDIA","Indian Non-Government Company"
"U74140AR2009PLC008271","7-01-2009","ARUNACHAL PRADESH MANPOWER & PROJECT CONSULTANY LIMITED","ACTIVE","Public","Company Limited by Shares","1,000,000.00","500,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","ANNEX CIVIL SECRETARIAT ITANAGAR Arunachal Pradesh INDIA 791111","Others"
"U74140AR2010PTC008303","31-03-2010","ASSOCIATED TEA & AGRO MANAGEMENT SERVICES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","C-SECTOR ITANAGAR ITANAGAR Arunachal Pradesh INDIA 791001","Indian Non-Government Company"
"U74140AR2012PTC008352","8-02-2012","KATAM PROJECT CONSULTANTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","VIVEK BUILDING, B SECTOR, PO DOIMUKH PAPUMPARE Arunachal Pradesh INDIA 791112","Indian Non-Government Company"
"U74140AR2012PTC008362","11-04-2012","RUPUNG CONSULTANCY PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","100,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","1st floor, Takar Complex Naharlagun Papum Pare District Arunachal Pradesh INDIA 791110","Indian Non-Government Company"
"U74210AR1998PTC005326","5-02-1998","RUSTOM ENTERPRISE PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","50,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","ITANAGAR C SECTORDIST PAPUMPARE ARUNACHAL PRADESH Arunachal Pradesh INDIA","Indian Non-Government Company"
"U74210AR1998PTC005427","5-06-1998","NANA KOO AGRO PVT LTD","ACTIVE","Private","Company Limited by Shares","10,000,000.00","5,160,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","TALLE VALLEY ROAD HAPLI ZERO LOWER SUBANSIRI Arunachal Pradesh INDIA 791120","Indian Non-Government Company"
"U74210AR1999PTC005982","17-12-1999","KHARSANG COAL DEVELOPMENT PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","2,500,000.00","3,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","CHANGLANGKHARSANG ARUNACHAL PRADESH Arunachal Pradesh INDIA 792122","Indian Non-Government Company"
"U74210AR2008PTC008251","28-01-2008","SIANG ENGINEERING CONSULTANCY SERVICES PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","GANDHI MARKET `C' SECTOR, ITANAGAR Arunachal Pradesh INDIA 791111","Indian Non-Government Company"
"U74210AR2008PTC008269","21-10-2008","UDIPTA - HAL ENERGY & INFRASTRUCTURE PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","11,000,000.00","11,000,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","VILLAGE-NEOTAN, P.O/P.S-MIAO CHANGLANG Arunachal Pradesh INDIA 792122","Indian Non-Government Company"
"U74300AR2014OPC008416","24-06-2014","JOY7 VENTURES PRIVATE LIMITED (OPC)","ACTIVE","One Person Company","Company Limited by Shares","100,000.00",NA,"Arunachal Pradesh","RoC-Shillong","Business Services","C/o Sri Sonjoy Marde , S/o Sri Tamir Marde E - 322 , Niti Vihar , Nr. Maya Motors Itanagar Arunachal Pradesh INDIA 791111","Indian Non-Government Company"
"U74900AR2010PTC008312","7-09-2010","AILERON PROJECT SOLUTIONS PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","2,500,000.00","500,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","Gamlin Building, Adj. to Vijaya Bank Ziro Point Tinali Itanagar Arunachal Pradesh INDIA 791111","Indian Non-Government Company"
"U74900AR2010PTC008315","10-09-2010","SANGO ROOFINGS PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","1,000,000.00","800,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","C/O CAPITAL ENTERPRISE, C SECTOR BORA PANI BAZAR NAHARLAGUN Arunachal Pradesh INDIA 791110","Indian Non-Government Company"
"U74900AR2015NPL008418","30-01-2015","ITANAGAR CRICKET LEAGUE","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","09 Yaying Bldg., VIP Road Bank Tinali Itanagar Arunachal Pradesh INDIA 791111","Indian Non-Government Company"
"U74920AR1998PTC005589","18-11-1998","GLOBO ENGINEERING AND CONSTRUCTION COMPANY PVT LTD","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","20,000.00","Arunachal Pradesh","RoC-Shillong","Business Services","A SECTOR HELIPAD ROADNAHARLAGAN DISTRICT PAPUMPARE ARUNACHAL PRADESH Arunachal Pradesh INDIA","Indian Non-Government Company"
"U74999AR1988PTC002944","7-04-1988","C C A INDIA PVT LTD","STRIKE OFF","Private","Company Limited by Shares","4,000,000.00","120,200.00","Arunachal Pradesh","RoC-Shillong","Business Services","SECTOR C OPP HEAD OFFICEARUNACHAL PRADESH ITANAGAR Arunachal Pradesh INDIA","Indian Non-Government Company"
"U74999AR2006PTC008240","14-12-2006","APANG EXPORTS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00",NA,"Arunachal Pradesh","RoC-Shillong","Business Services","DAILY MARKET C SECTOR ITANAGAR Arunachal Pradesh INDIA 791111","Indian Non-Government Company"
"U74999AR2008PTC008260","4-04-2008","MOKO ASSOCIATES PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","2,000,000.00",NA,"Arunachal Pradesh","RoC-Shillong","Business Services","LOYA COMMERCIAL BUILIDING, NEAR VIJAYA BANK ZERO POINT TINALI ITANAGAR Arunachal Pradesh INDIA 791111","Indian Non-Government Company"
"U75112AR1996SGC004851","9-09-1996","ARUNACHAL PRADESH DEVELOPMENT CORPORATION LIMITED","DORMANT","Public","Company Limited by Shares","50,000,000.00","7,000.00","Arunachal Pradesh","RoC-Shillong","Community, personal & Social Services","UDYOG SADAN, Dist. Papum pari ITANAGAR Arunachal Pradesh INDIA","State Government Company"
"U80903AR2013PTC008380","27-02-2013","V R S EDUCATIONAL CONSULTANTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Community, personal & Social Services","SHOP NO.80, TOP FLOOR, THAKKAR COMPLEX, NAHARLAGAON Arunachal Pradesh INDIA 791110","Indian Non-Government Company"
"U85110AR1996PTC004811","11-07-1996","POLO HOSPITAL PVT LTD","STRIKE OFF","Private","Company Limited by Shares","1,500,000.00","4,000.00","Arunachal Pradesh","RoC-Shillong","Community, personal & Social Services","GANGA MARKET ITANAGARDIST PAPUMPARE ARUNACHAL PRADESH Arunachal Pradesh INDIA","Indian Non-Government Company"
"U85110AR1996PTC004847","4-09-1996","MEIN MARKETING PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","4,000,000.00","200","Arunachal Pradesh","RoC-Shillong","Community, personal & Social Services","ALUBARICHOWKHAM DIST LOHIT ARUNACHAL PRADESH Arunachal Pradesh INDIA","Indian Non-Government Company"
"U85110AR2001PTC006485","9-04-2001","WE CARE DIAGNOSTIC & RESEARCH CENTRE PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","3,600,000.00","3,600,000.00","Arunachal Pradesh","RoC-Shillong","Community, personal & Social Services","SUPER MARKETNAHAR LAGUN PAPUMPARE Arunachal Pradesh INDIA 791110","Indian Non-Government Company"
"U85110AR2010PTC008293","3-03-2010","SIANG HEALTHCARE AND HOSPITALITY PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","1,000,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Community, personal & Social Services","GANDHI MARKET, C-SECTOR, ITANAGAR Arunachal Pradesh INDIA 791118","Indian Non-Government Company"
"U92111AR1997PTC005140","7-08-1997","TRANS HIMALAYAN PRODUCTIONS PVT LIMITED","STRIKE OFF","Private","Company Limited by Shares","5,000,000.00","520,000.00","Arunachal Pradesh","RoC-Shillong","Community, personal & Social Services","ZERO POINT TINALI ITANAGAR PAPUMPARE Arunachal Pradesh INDIA 791111","Indian Non-Government Company"
"U92111AR2004PTC007443","17-06-2004","S&Y MOVIES PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","2,000,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Community, personal & Social Services","NIRJULI DIST PAPUMPARE PAPUMPARE Arunachal Pradesh INDIA","Indian Non-Government Company"
"U92131AR2005PTC007937","25-10-2005","MOLO TODO MASS MEDIA PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","7,500,000.00","6,000,000.00","Arunachal Pradesh","RoC-Shillong","Community, personal & Social Services","AKASHDEEP COMPLEXITANAGAR ARUNACHAL PRADESH Arunachal Pradesh INDIA 791111","Indian Non-Government Company"
"U92141AR2005PTC007977","28-11-2005","KEE RELATIONS & EVENT MANAGEMENT PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Community, personal & Social Services","NEAR STATE CIRCUIT HOUSEITA FORT ROAD UPPER C SECTOR ARUNACHAL PRADESH ITANAGAR Arunachal Pradesh INDIA","Indian Non-Government Company"
"U92199AR2000PTC006252","18-07-2000","DON TANYI FUN PARK PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","150,000.00","Arunachal Pradesh","RoC-Shillong","Community, personal & Social Services","DON TANYI VILLA ,D SECTOR BEHIND P&7 COLONY ITANAGAR Arunachal Pradesh INDIA 791111","Indian Non-Government Company"
"U93000AR2010PTC008311","24-08-2010","ALPINE ASSOCIATE PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Community, personal & Social Services","SHIV MANDIR ROAD E - SECTOR, NAHARLAGUN NAHARLAGUN Arunachal Pradesh INDIA 791110","Indian Non-Government Company"
