"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U45203AS1991PTC003622","14-11-1991","GREEN VIEW COMMERCIAL PVT LTD","STRIKE OFF","Private","Company Limited by Shares","500,000.00","30,100.00","Assam","RoC-Shillong","Construction","M M ROAD HUNWAL. MARIANI,HUNWAL MARIANI JORHAT ASSAM Assam INDIA","Indian Non-Government Company"
"U45203AS1992PTC003688","10-04-1992","RAITANI ENGINEERING WORKS PVT LTD","ACTIVE","Private","Company Limited by Shares","100,000,000.00","96,648,500.00","Assam","RoC-Shillong","Construction","C O CAMPUS OF MR M M CHOUDHURYP B ROAD REHABARI GUWAHATI ASSAM Assam INDIA 781008","Indian Non-Government Company"
"U45203AS1992PTC003782","15-09-1992","GENERAL ENGINEERING PRIVATE LTD","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","221,000.00","Assam","RoC-Shillong","Construction","M.TAYABULLAH ROAD GUWAHATI Assam INDIA 781001","Indian Non-Government Company"
"U45203AS1993PTC003868","2-03-1993","K K BUILDERS AND ENGINEERS PVT LTD","ACTIVE","Private","Company Limited by Shares","9,000,000.00","7,074,000.00","Assam","RoC-Shillong","Construction","TRADE HOUSE, 4TH FLOOR, S R C B ROAD FANCY BAZAR GUWAHATI Assam INDIA 781001","Indian Non-Government Company"
"U45203AS1993PTC003921","27-05-1993","SAUMAR BUILDERS PVT LTD","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","384,000.00","Assam","RoC-Shillong","Construction","COLLEGE ROAD TINSUKIA Assam INDIA 786125","Indian Non-Government Company"
"U45203AS1993PTC003927","7-06-1993","EAGLE BUILDERS INDIA PVT LTD","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","30,000.00","Assam","RoC-Shillong","Construction","BELTOLA BASISHTHA ROADGUWAHATI ASSAM Assam INDIA","Indian Non-Government Company"
"U45203AS1993PTC004016","29-10-1993","DHIROOMAL AND SONS PVT LTD","ACTIVE","Private","Company Limited by Shares","20,000,000.00","14,030,300.00","Assam","RoC-Shillong","Construction","WEST MALIGAONGUWAHATI ASSAM Assam INDIA","Indian Non-Government Company"
"U45203AS1994PTC003573","29-09-1994","NORTH EAST AVIATION SERVICES PVT LTD","STRIKE OFF","Private","Company Limited by Shares","500,000.00","4,000.00","Assam","RoC-Shillong","Construction","XI 401 SILPUKRI WESTMAHENDRA LAL BARUA ROAD GUWAHATI ASSAM Assam INDIA","Indian Non-Government Company"
"U45203AS1996PTC004914","2-12-1996","CONSTELLATION CONSTRUCTION COMPANY PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","647,000.00","Assam","RoC-Shillong","Construction","F F 2 MARKAND BHAWANNAYANPUR ROAD GANESHGURI CHARIALI ASSAM Assam INDIA 781006","Indian Non-Government Company"
"U45203AS1997PTC004948","13-01-1997","SANDEEP COMMERCIAL PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","40,000,000.00","40,000,000.00","Assam","RoC-Shillong","Construction","DEWANPATTIFANCY BAZAR GUWAHATI KAMRUP Assam INDIA 781001","Indian Non-Government Company"
"U45203AS1999PLC005740","26-04-1999","BHARTIA INFRA PROJECTS LIMITED","ACTIVE","Public","Company Limited by Shares","40,000,000.00","33,061,250.00","Assam","RoC-Shillong","Construction","201 ROYAL ARCADE 2ND FLOOR, DR. B. BORUAH ROAD, ULUBARI GUWAHATI Assam INDIA 781007","Indian Non-Government Company"
"U45203AS1999PTC005702","19-03-1999","OMNI INDIA COMMERCIAL PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","417,000.00","Assam","RoC-Shillong","Construction","S DILIP HIZURI PATHOMNI BHAWAN SARUMOTERIA DISPUR GUWAHATI ASSAM Assam INDIA 781005","Indian Non-Government Company"
"U45203AS1999PTC005975","7-12-1999","J C CONSTRUCTION PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","3,000,000.00","2,420,000.00","Assam","RoC-Shillong","Construction","D K ROAD, NORTH LAKHIMPUR LAKHIMPUR NORTH LAKHIMPUR Assam INDIA 787001","Indian Non-Government Company"
"U45203AS1999PTC005991","29-12-1999","MOTHER INDUSTRIES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","10,000,000.00","400,000.00","Assam","RoC-Shillong","Construction","N C ROAD TEZPUR TEZPUR Assam INDIA 784001","Indian Non-Government Company"
"U45203AS2000PTC006002","14-01-2000","T.C G CONSTRUCTION COMPANY PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","2,552,500.00","Assam","RoC-Shillong","Construction","NEAR ABC (1) LTD TARUN NAGAR GUWAHATI Assam INDIA 781005","Indian Non-Government Company"
"U45203AS2001PTC006455","19-03-2001","ENCON PROJECTS AND SERVICES PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","100,000.00","Assam","RoC-Shillong","Construction","BHARALI COMPLEX, G.S. ROAD,ULUBARI GUWAHATI Assam INDIA 781007","Indian Non-Government Company"
"U45203AS2001PTC006673","9-11-2001","J K B INDIA PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","2,450,000.00","1,000,000.00","Assam","RoC-Shillong","Construction","KHALIAMARI DIST-DIBRUGARH DIBRUGARH Assam INDIA 786001","Indian Non-Government Company"
"U45203AS2002PTC006782","27-03-2002","VIBGYOR ASSOCIATES PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","10,000,000.00","10,000,000.00","Assam","RoC-Shillong","Construction","RIYA SUPER MARKET1ST FLOOR SIVBARI ROAD HAILAKANDI ASSAM Assam INDIA 788151","Indian Non-Government Company"
"U45203AS2003PTC007108","23-05-2003","D2S INFRASTRUCTURES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","80,000,000.00","80,000,000.00","Assam","RoC-Shillong","Construction","R D SHARMA BUILDING A T ROAD GUWAHATI Assam INDIA 781001","Indian Non-Government Company"
"U45203AS2003PTC007135","17-06-2003","DUNGARMAL JAIN CONSTRUCTION COMPANY PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","2,665,500.00","Assam","RoC-Shillong","Construction","401, AMAZE SHOPPING MALL A.T. ROAD GUWAHATI Assam INDIA 781001","Indian Non-Government Company"
