"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","ROC","DESCRIPTION","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"L14102PY1986PLC000415","5-30-1986","COROMANDEL GRANITES (I) LIMITED","ACTIVE","PUBC","CLSH",2.47032822920623e-316,1.99911311948514e-316,"Pondicherry","RoC-Pondicherry","Mining & Quarrying","C/o. G. JAYANTHI, NO.2, KAMARAJAR STREET 1ST FLOOR, ASHOK NAGAR, LAWSPET PONDICHERRY Pondicherry INDIA 605008","Indian Non-Government Company"
"L15142PY1993PLC000911","8-20-1993","J.R.FOODS LIMITED","ACTIVE","PUBC","CLSH",4.94065645841247e-316,4.69362363549184e-316,"Pondicherry","RoC-Pondicherry","Manufacturing (Food stuffs)","J K TOWERS100 FEET ROAD PONDICHERRY-605013 PONDICHERRY 605 013. Pondicherry INDIA 605013","Indian Non-Government Company"
"L15319PY1987PLC000533","9-18-1987","PROTCHEM INDUSTRIES (INDIA) LTD","ACTIVE","PUBC","CLSH",5.43472210425371e-316,3.45845952088873e-316,"Pondicherry","RoC-Pondicherry","Manufacturing (Food stuffs)","ABHISHEKAPAKKAMPONDICHEERY 7 PONDICHEERY 7 Pondicherry INDIA 605007","Indian Non-Government Company"
"L15531PY1977PLC000147","10-14-1977","SICA BEWERIES LTD.","AMALGAMATED","PUBC","CLSH",2.99502594508964e-316,0,"Pondicherry","RoC-Pondicherry","Manufacturing (Food stuffs)","AYYANKUTTIPALAYAMMUTHIRAPALAYAM P.O PONDICHERRY 9 605 009. Pondicherry INDIA","Indian Non-Government Company"
"L17111PY1992PLC000796","2-28-1992","PONDICHERRY SPINNERS LIMITED","ACTIVE","PUBC","CLSH",8.64614880222181e-317,7.52709011439139e-317,"Pondicherry","RoC-Pondicherry","Manufacturing (Textiles)","SIRUVANTHADU ROAD,MADUKARAI, PONDICHERRY - 605 106 PONDICHERRY - 605 106 Pondicherry INDIA 605106","Indian Non-Government Company"
"L19112PY1993PLC000921","10-19-1993","GYAN LEATHER BOARD LTD.","ACTIVE","PUBC","CLSH",4.94065645841247e-316,4.43548767531223e-316,"Pondicherry","RoC-Pondicherry","Manufacturing (Leather & products thereof)","THUTHIPET VILLAGE,VIA VALUDAVOOR, VILLIANUR COMMUNE, PONDICHERRY Pondicherry INDIA 605502","Indian Non-Government Company"
"L21012PY1974PLC000125","11-11-1974","THE PONDICHERRY PAPERS LTD","ACTIVE","PUBC","CLSH",2.47032822920623e-316,2.42833264930973e-316,"Pondicherry","RoC-Pondicherry","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","NO.2, III CROSS,SHANTHI NAGAR, PONDICHERRY 605 011. PONDICHERRY 605 013 Pondicherry INDIA 605013","Indian Non-Government Company"
"L21029PY1991PLC000730","1-18-1991","KARUR K.C.P PACKKAGINGS LIMITED","ACTIVE","PUBC","CLSH",9.88131291682493e-316,5.55823851571402e-316,"Pondicherry","RoC-Pondicherry","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","NO:1, FIRST FLOOR, BHAGATH SINGH STREET, (BEHIND STANDARD ICE FACTORY), BHARATHIPURAM PUDUCHERRY Pondicherry INDIA 605011","Indian Non-Government Company"
"L26940PY1987PLC000478","1-29-1987","ALTERNATIVE ENERGY INDUSTRIES LIMITED","DISSOLVED","PUBC","CLSH",7.4109846876187e-317,6.87463937413459e-317,"Pondicherry","RoC-Pondicherry","Manufacturing (Metals & Chemicals, and products thereof)","KALITHEERTHAL KUPPAM 605 107MANNADIPET COMMUNE PONDICHERRY Pondicherry INDIA","Indian Non-Government Company"
"L27109PY1982PLC000199","8-20-1982","EASTCOAST STEEL LTD","ACTIVE","PUBC","CLSH",4.94065645841247e-316,2.66620944768162e-316,"Pondicherry","RoC-Pondicherry","Manufacturing (Metals & Chemicals, and products thereof)","CUDDALORE ROADPILLAYARKUPPAM BAHOURE COMMUNE PONDICHERRY 607 402 Pondicherry INDIA 607402","Indian Non-Government Company"
"L35111PY1984PLC000255","3-28-1984","SUMURA MARITIME TRADES LTD","ACTIVE","PUBC","CLSH",3.45845952088873e-316,2.44384631058914e-316,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","Room no 2 First Floor no 46 Ambur Salai pondicherry Pondicherry INDIA 605001","Indian Non-Government Company"
"L51909PY1919PLC002537","10-27-1919","MARSHALL SONS AND CO INDIA LTD","ACTIVE","PUBC","CLSH",9.88131291682493e-317,4.48270701128221e-317,"Pondicherry","RoC-Pondicherry","Trading","24, Rue-Debassyns, De-Richmond Pondicherry Pondicherry INDIA 605001","Indian Non-Government Company"
"U01111PY1986PTC000440","9-24-1986","SRI VASAVI MODERN RICE MILLS PVT LTD","ACTIVE","PRIV","CLSH",1.97626258336499e-317,1.97626258336499e-317,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","R.S NO.81/5 ADAVIPOLAMYANAM 533 464 YANAM 533 464 Pondicherry INDIA 533464","Indian Non-Government Company"
"U01111PY2003PTC001746","12-24-2003","ST.MARYS AGRO FARMS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","141,VILLIANUR ROAD,REDDIARPALAYAM, PONDICHERRY 605 010. PONDICHERRY 605 010. Pondicherry INDIA 605010","Indian Non-Government Company"
"U01111PY2004PTC001794","7-15-2004","SRI VENGADACHALAPATHY HITECH AGRO MILLS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-318,4.94065645841247e-318,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","OLD TN PALAYAM ROAD,ABISHEGAPAKKAM, PONDICHERRY-605007. 605007. Pondicherry INDIA 605007","Indian Non-Government Company"
"U01111PY2007PTC002031","2-27-2007","UNITED AGRO CARE (INDIA) PRIVATE LIMITED","ACTIVE","PRIV","CLSH",2.27270197086973e-316,2.27136799362596e-316,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO. 73, IYYANAR KOIL STREET THILASPET PONDICHERRY Pondicherry INDIA 605009","Indian Non-Government Company"
"U01111PY2010PTC002417","2-10-2010","ALPHA ORGANIC SOLUTIONS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","59/4A, ANNAI NAGAR ALANKUPPAM PONDICHERRY Pondicherry INDIA 605111","Indian Non-Government Company"
"U01117PY2001PTC001572","2-7-2001","MARUTHI BIO-TECH PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO.5, SECOND STREET,SHANTHI NAGAR,PONDICHERRY - 605 011 PONDICHERRY - 605 011 Pondicherry INDIA 605011","Indian Non-Government Company"
"U01118PY1994PTC000980","6-29-1994","PONDY AGRO STABILIZERS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","46 BHARATHI NAGARLAWSPET PONDICHERRY Pondicherry INDIA","Indian Non-Government Company"
"U01118PY1995PTC001110","7-7-1995","KAYESS HATCHERIES PRIVATE LIMITED","DORMANT","PRIV","CLSH",7.4109846876187e-318,9.88131291682493e-321,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","4,ISWARYA APARTMENTS,ALLAR HIGH ROAD PONDICHERRY Pondicherry INDIA","Indian Non-Government Company"
"U01119PY2001PTC001592","4-25-2001","AGROTECH LABORATORIES PRIVATE LIMITED","DORMANT","PRIV","CLSH",2.47032822920623e-318,5.18768928133309e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO.35,VANNIA PERUMAL KOIL ST.,MUDALIARPET, PONDICHERRY - 605 004 PONDICHERRY - 605 004 Pondicherry INDIA 605004","Indian Non-Government Company"
"U01119PY2008PTC002172","5-26-2008","ROSENEATH RESORTS AND FARMS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",2.47032822920623e-318,0,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NEW NO.5, OLD NO.23, II CROSS STREET, THANTHAI PERIYAR NAGAR, PUDUCHERRY Pondicherry INDIA 605005","Indian Non-Government Company"
"U01122PY1998PTC001383","3-3-1998","SRI KRISHNA AGRI TECH PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",9.88131291682493e-318,9.88131291682493e-318,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","2/17,MAIN ROAD,P.S.PALAYAM, PONDICHERRY-605107 PONDICHERRY-605107 Pondicherry INDIA 605107","Indian Non-Government Company"
"U01122PY2004PTC001750","1-19-2004","PONDY HORTICULTURE HUB PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","91, NALLAVADU ROAD,THAVALAKUPPAM, ABISEGAPAKKAM, PONDICHERRY-605007. 605007 Pondicherry INDIA 605007","Indian Non-Government Company"
"U01122PY2006PTC002018","12-26-2006","CHETTINAD EXPORTS AND FARMS PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",2.47032822920623e-318,0,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","13 MARKET STREET ORLEANPET PONDICHERRY Pondicherry INDIA 605001","Indian Non-Government Company"
"U01131PY2002PTC001661","9-16-2002","NTS ESTATES PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-317,2.47032822920623e-317,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO.211,CHETTY STREET,PONDICHERRY - 605 001 PONDICHERRY 605 001 Pondicherry INDIA 605001","Indian Non-Government Company"
"U01131PY2002PTC001662","9-16-2002","SRI VEDAPUREESWARAR ESTATES AND AGRO FARMING INDIA PVT LTD","ACTIVE","PRIV","CLSH",2.47032822920623e-318,2.22329540628561e-318,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO.54, ESWARAN KOIL STREET,PONDICHERRY - 605 001 PONDICHERRY - 605 001 Pondicherry INDIA 605001","Indian Non-Government Company"
"U01200PY2013PLC002811","7-11-2013","PUDHUVAI AGRO FARM INDIA LIMITED","ACTIVE","PUBC","CLSH",2.47032822920623e-318,2.47032822920623e-318,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO. 15, GROUND FLOOR, 5th CROSS STREET BHARATHIDASAN NAGAR, MUDHALIYAR PET PUDHUCHERRY Pondicherry INDIA 605004","Indian Non-Government Company"
"U01210PY1995PLC001053","2-22-1995","FORTUNE FEEDS (INDIA) LIMITED","AMALGAMATED","PUBC","CLSH",1.72922976044436e-317,1.5902985008338e-317,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO.68, CANDAPPA STREET,PONDICHERRY-1. pondicherry Pondicherry INDIA","Indian Non-Government Company"
"U01210PY2014PTC002860","2-27-2014","NATHAN JK POULTRY PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-317,4.94065645841247e-317,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","PLOT NO. 5, FIRST CROSS (SOUTH) EZHIL NAGAR PONDICHERRY Pondicherry INDIA 605003","Indian Non-Government Company"
"U01212PY2003NPL001698","4-10-2003","REAL WOMEN DAIRY DEVELOPMENT","DORMANT","PRIV","CLAG",0,0,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO.189,PILLAIYAR KOIL STREETVELMURUGAN NAGAR KOSAPALAYAM, PONDICHERRY PONDICHERRY Pondicherry INDIA 605013","Company licensed under Section25"
"U01222PY2005PTC001863","5-6-2005","MOTHER BROILER PRIVATE LIMITED","DISSOLVED","PRIV","CLSH",2.47032822920623e-318,2.47032822920623e-318,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","N0.9, IST CROSS STREET,KURINJI NAGAR (EXTENSION), LAWSPET, PONDICHERRY 605 008 PONDICHERRY - 605 008 Pondicherry INDIA 605008","Indian Non-Government Company"
"U01222PY2005PTC001864","5-6-2005","MOTHER BROILER BREEDER FARMS PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",2.47032822920623e-318,2.47032822920623e-318,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO.9,IST CROSS STREET,KURUNJI NAGAR, LAWS PET, PONDICHERRY - 605 008 PONDICHERRY - 605 008 Pondicherry INDIA 605008","Indian Non-Government Company"
"U01225PY2013PTC002790","4-25-2013","NATHAN FEEDS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-317,4.94065645841247e-317,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","PLOT NO 5, SECOND CROSS SECOND STREET, EZHIL NAGAR( KRISHNA NAGAR) MUTHIALPET Pondicherry INDIA 605003","Indian Non-Government Company"
"U01400PY1992PTC000809","5-4-1992","EAST COAST FARMS PVT LTD","STRIKE OFF","PRIV","CLSH",4.94065645841247e-318,0,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","PONDICHERRY-11 Pondicherry INDIA","Indian Non-Government Company"
"U01400PY2013PTC002772","1-1-2013","HONOURABLE'S AGRI INDIA PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","OLD NO 10, NEW NO 3 ,FIRST FLOOR, YAMUNAI ST VALLALAR NAGAR, NAINARMANDAPAM MUDHALIARPET Pondicherry INDIA 605004","Indian Non-Government Company"
"U01400PY2014PLC002854","2-4-2014","REAL DREAMS AGRO WORLD INDIA LIMITED","ACTIVE","PUBC","CLSH",2.47032822920623e-318,2.47032822920623e-318,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","No.45/1, Market Street Karaikal Pondicherry INDIA 609602","Indian Non-Government Company"
"U01403PY1985PTC000325","5-23-1985","SRI SATYA AGRO PRODUCTS PVT LTD","STRIKE OFF","PRIV","CLSH",1.23516411460312e-317,0,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","pondicherry Pondicherry INDIA","Indian Non-Government Company"
"U01403PY1995PLC001114","7-12-1995","URAMEL AGRO INDIA LIMITED","STRIKE OFF","PUBC","CLSH",2.47032822920623e-318,0,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","C-30, TYPE II, FLATS,VENKATANAGAR, PONDICHERRY-605011. Pondicherry INDIA","Indian Non-Government Company"
"U01403PY2009PTC002376","10-29-2009","DYNADIS BIOTECH INDIA PRIVATE LIMITED","ACTIVE","PRIV","CLSH",1.53160350210786e-317,1.38783039916806e-317,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","23, VALLALAR SALAI, RAJA RAJESWARI NAGAR PONDICHERRY Pondicherry INDIA 605011","Indian Non-Government Company"
"U01403PY2011PTC002629","10-13-2011","CUDDALORE AGRO FARMERS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO.42, MARIAMMAN KOIL STREET IRULANSANDHAI KURUVINATHAM PONDICHERRY Pondicherry INDIA 607402","Indian Non-Government Company"
"U01403PY2012PTC002726","8-10-2012","REAL DREAMS AGRO PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO:1 ,ARASUR MAIN ROAD,SULTHANPET VILLIANUR PUDHUCHERRY Pondicherry INDIA 605110","Indian Non-Government Company"
"U01403PY2013PTC002773","2-1-2013","FORUSTREE DEVELOPERS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO 229, ROOM NO, 101 Ambalathadyar Madam Street Pondicherry Pondicherry INDIA 605001","Indian Non-Government Company"
"U01403PY2013PTC002844","12-27-2013","PONDY SPIRULINA FARMS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-318,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","31, SECOND CROSS STREET ANANDH NAGAR, NAINARMANDAPAM PONDICHERRY Pondicherry INDIA 605004","Indian Non-Government Company"
"U01407PY1993PTC000858","1-6-1993","PONDICHERRY AGROPLANTATIONS PVT LTD","STRIKE OFF","PRIV","CLSH",4.94065645841247e-319,9.88131291682493e-320,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","174, Nidarajapiar Street PONDICHERRY Pondicherry INDIA 605001","Indian Non-Government Company"
"U01409PY1996PLC001210","3-18-1996","UNITED FARMS AND EXPORTS (INDIA) LIMITED","STRIKE OFF","PUBC","CLSH",2.47032822920623e-318,0,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO.81, VYSIAL STREET,PONDICHERRY-1. Pondicherry INDIA","Indian Non-Government Company"
"U01409PY1997PLC001344","9-16-1997","FORTUNE FLORAGRO INDIA LIMITED","ACTIVE","PUBC","CLSH",1.60571334898405e-316,5.15020946143957e-317,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","121, CANDAPPA STREET,PONDICHERRY-605001. PONDICHERRY Pondicherry INDIA 605001","Indian Non-Government Company"
"U01409PY1998PTC001433","10-15-1998","KAY FARMS AND AGRO INDUSTRIES PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-317,2.47032822920623e-317,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","64 RUE SUFFREN STREETPONDICHERRY 605 001. PONDICHERRY 605 001. Pondicherry INDIA 605001","Indian Non-Government Company"
"U01409PY1999PTC001497","10-25-1999","SRI VENKATESWARA HITECH AGRO PRIVATE LIMITED","ACTIVE","PRIV","CLSH",3.70549234380935e-317,3.70549234380935e-317,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","ADIVIPALAM,YANAM-533464. YANAM-533464. Pondicherry INDIA 533464","Indian Non-Government Company"
"U01409PY1999SGC001457","3-31-1999","PUDUCHERRY BACKWARD CLASSES AND MINORITIES DEVELOPMENT CORPORATION LIMITED","ACTIVE","PRIV","CLSH",2.47032822920623e-316,2.14498600141977e-316,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO.1, 8TH CROSS ANNA NAGAR PUDUCHERRY Pondicherry INDIA 605005","State Government Company"
"U01409PY2001PTC001605","7-25-2001","SRI KVR AGRI PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO.8B, IYANNAR KOIL ST,RAJANAGAR(OPP.PT&TDC SHED), PONDICHERRY 605 013. PONDICHERRY 605 013. Pondicherry INDIA 605013","Indian Non-Government Company"
"U01409PY2005PTC001855","4-1-2005","HERBALWAY BIOTECH INDIA PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",2.47032822920623e-318,2.47032822920623e-318,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO.10, RURAL INDL. ESTATE,KATTUKUPPAM, PONDICHERRY-607402. 607402. Pondicherry INDIA 607402","Indian Non-Government Company"
"U01409PY2006PTC001938","2-7-2006","ARM PEST C0NTROL AND AGRO SERVICE PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","52/1A, VILLIANUR ROADKOMBAKKAM PONDICHERRY PONDICHERRY Pondicherry INDIA 605110","Indian Non-Government Company"
"U01575PY2001PLC001575","2-26-2001","ANJANEYA HERBALS LIMITED","STRIKE OFF","PUBC","CLSH",4.94065645841247e-318,4.94065645841247e-318,"Pondicherry","RoC-Pondicherry",NA,"7/1021, CHALAKKARA VILLAGE,MAHE, PONDICHERRY - 670 671 MAHE,PONDICHERRY-670 671 Pondicherry INDIA 670671","Indian Non-Government Company"
"U01918PY2005PTC001918","11-28-2005","SHREENIDHI SYSTEMS PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry",NA,"107 CANTEEN STPONDICHERRY PONDICHERRY Pondicherry INDIA 605001","Indian Non-Government Company"
"U02001PY1992PLC000819","7-9-1992","ROYAL GARDEN TEAK PLANTATIONS LIMITED","DORMANT","PUBC","CLSH",4.94065645841247e-318,5.28650241050134e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","29/30 NATESAN NAGAR PONDICHERRY PONDICHERRY Pondicherry INDIA 605005","Indian Non-Government Company"
"U02001PY1993PTC000889","5-31-1993","KALRAYAN TEAK PLANTATIONS PVT. LTD.","ACTIVE","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","PLOT NO. 45 RAJESWARI ILLAMKRISHNA NAGAR WEST VIA DOHBI- GANA LAWSPET,PONDICHERRY-8. PONDICHERRY-605008 Pondicherry INDIA 605008","Indian Non-Government Company"
"U02001PY1995PTC001150","10-19-1995","SUN TREE MAGNUM INDIA PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",2.47032822920623e-318,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","III FLOOR, NO.81, CANTEENSTREET, PONDICHERRY STREET, PONDICHERRY Pondicherry INDIA 605001","Indian Non-Government Company"
"U02104PY1992PTC000849","12-4-1992","EVERSERVE PACKING SYSTEMS PVT LTD","DORMANT","PRIV","CLSH",9.88131291682493e-319,9.88131291682493e-319,"Pondicherry","RoC-Pondicherry",NA,"EVERSERV GARDENS,NORTH STREET, BAHOUR, PONDICHERRY-607 402. CUDDALORE RD.,ARIANKUPPAM,POND Pondicherry INDIA 607402","Indian Non-Government Company"
"U02429PY2002PTC001668","10-10-2002","KAMAKSHI CHEMICALS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-318,4.94065645841247e-318,"Pondicherry","RoC-Pondicherry",NA,"RS.NO.57/3/D,NAINIKATTALAI ROAD,POLAGAM, T.R.PATTINAM COMMUNE KARAIKAL-609 606 Pondicherry INDIA 609606","Indian Non-Government Company"
"U05001PY1987PTC000498","4-23-1987","ATCHYA MARINES PVT LTD","DORMANT","PRIV","CLSH",4.94065645841247e-318,4.94065645841247e-318,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO.62/1 KRISHNAPURAMCUDDALORE PONDY ROAD KANNAKOIL POST PONDICHERRY Pondicherry INDIA","Indian Non-Government Company"
"U05004PY1993PLC000871","3-3-1993","MARAINE HARVEST INDIA LTD.","DORMANT","PUBC","CLSH",2.47032822920623e-318,4.94065645841247e-321,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","8.141 PYDICONDALA STREETYANAM 533464. YANAM 533464. Pondicherry INDIA 533464","Indian Non-Government Company"
"U05004PY1993PTC000903","7-15-1993","PETROS AQUA PVT. LTD.,","STRIKE OFF","PRIV","CLSH",2.47032822920623e-317,9.88131291682493e-318,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","12, PILLAYAR KOIL ST.,KOSAPALAYAM PONDICHERRY-605013. PONDICHERRY-605013. Pondicherry INDIA 605013","Indian Non-Government Company"
"U05004PY1995PLC001065","3-20-1995","FISH INDIA LIMITED","STRIKE OFF","PUBC","CLSH",4.94065645841247e-318,0,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","ANANDHI BUILDINGS,VALLALAR SALAI, VENKATA NAGAR, PONDICHERRY-11. Pondicherry INDIA","Indian Non-Government Company"
"U05004PY2002PTC001657","8-26-2002","P.R.N. AQUA FARMS PRIVATE LIMITED.","ACTIVE","PRIV","CLSH",9.88131291682493e-319,9.88131291682493e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","50,BHARATHIAR ROADKOTTUCHERRY KARAIKAL-609 609 Pondicherry INDIA 609609","Indian Non-Government Company"
"U05012PY1985PTC000358","9-27-1985","GEETHA MARINE PRODUCTS PVT LTD","DORMANT","PRIV","CLSH",1.48219693752374e-317,1.04741916918344e-317,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","114, III CROSSVENKATA NAGAR PONDICHERRY 11 Pondicherry INDIA","Indian Non-Government Company"
"U10100PY2015PTC002955","3-31-2015","NITHYASREE COAL ENERGY PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Mining & Quarrying","C-17, GROUND FLOOR, INDUSTRIAL EST THATTANCHAVADY PONDICHERRY Pondicherry INDIA 605009","Indian Non-Government Company"
"U10200PY1996PLC001221","4-17-1996","HITECH MINING INDIA LIMITED","STRIKE OFF","PUBC","CLSH",4.94065645841247e-318,2.49997216795671e-318,"Pondicherry","RoC-Pondicherry","Mining & Quarrying","3,II ST MOHANNAGAR,PONDICHERRY PONDICHERRY Pondicherry INDIA 605005","Indian Non-Government Company"
"U10201PY1993PTC000918","9-27-1993","SPECTRUM GRANITES PVT. LTD.","DORMANT","PRIV","CLSH",2.22329540628561e-318,2.22329540628561e-318,"Pondicherry","RoC-Pondicherry","Mining & Quarrying","12, PILLIAR KOIL ST.,KOSAPALAYAM, PONDICHERRY Pondicherry INDIA","Indian Non-Government Company"
"U11103PY1995PLC001143","9-29-1995","GLOBAL SOURCES AND RESOURCES (INDIA) LIMITED","STRIKE OFF","PUBC","CLSH",4.94065645841247e-317,0,"Pondicherry","RoC-Pondicherry","Mining & Quarrying","62, VALUDAVUR ROAD,PETTAYANCHATHRAM, PONDICHERRY-9. Pondicherry INDIA","Indian Non-Government Company"
"U11103PY1997PLC001336","8-4-1997","TRISTAR ENERGY LIMITED","STRIKE OFF","PUBC","CLSH",4.94065645841247e-318,0,"Pondicherry","RoC-Pondicherry","Mining & Quarrying","NO.3, II CROSS STREET,MOHAN NAGAR, PONDICHERRY-5. Pondicherry INDIA","Indian Non-Government Company"
"U13200PY1994PTC001016","11-4-1994","SOUTH WEST METAL TRADING PRIVATE LTD","STRIKE OFF","PRIV","CLSH",9.88131291682493e-320,0,"Pondicherry","RoC-Pondicherry","Mining & Quarrying","151, SHANMUGA VELAYUDA MUDALISTREET, PONDICHERRY 605 001 Pondicherry INDIA","Indian Non-Government Company"
"U13200PY1995PLC001040","1-19-1995","MONARCH STEEL (INDIA) LIMITED","DORMANT","PUBC","CLSH",4.94065645841247e-316,2.96686420327669e-317,"Pondicherry","RoC-Pondicherry","Mining & Quarrying","AMUTHA ILLAM,NO 12,II CROSSRAJIVE GANDHI NAGAR PONDICHERRY.13 PONDICHERRY Pondicherry INDIA 605013","Indian Non-Government Company"
"U13200PY2011PTC002652","12-19-2011","P R GEOTECH (INDIA) PRIVATE LIMITED","ACTIVE","PRIV","CLSH",2.47032822920623e-318,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Mining & Quarrying","DOOR NO.5-3-20, 1ST FLOOR, ADAVIPALEM UPSTAIRS OF VENKATA SAI ICE INDUSTRIES YANAM Pondicherry INDIA 533464","Indian Non-Government Company"
"U13203PY1978PTC000153","6-1-1978","TRIVENI METALS AND ALLOYS PVT LTD","DISSOLVED","PRIV","CLSH",1.23516411460312e-317,1.13635098543487e-317,"Pondicherry","RoC-Pondicherry","Mining & Quarrying","NO.1, UPPALAM ROADPONDICHERRY 1 Pondicherry INDIA","Indian Non-Government Company"
