"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","ROC","DESCRIPTION","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U29192PY2002PTC001652","7-22-2002","ZEN AIRCONDITIONERS PRIVATE LIMITED","DORMANT","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","NO.22,YAMUNAI STREET,VASANTH NAGAR, MUTHIALPET,PONDICHERR -605003 PONDICHERRY - 605 003 Pondicherry INDIA 605003","Indian Non-Government Company"
"U29195PY2001PTC001579","3-22-2001","MECHTRONICS MACHINERIES PRIVATE LIMITED","DORMANT","PRIV","CLSH",1.23516411460312e-317,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","94GANGAI AMMAN KOIL STREET PONDICHERRY- 605003 Pondicherry INDIA 605003","Indian Non-Government Company"
"U29197PY1998PTC000441","2-11-1998","PONDICHERRY TREADS PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",2.47032822920623e-318,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","NO270 MARAIMALAI ADIGALSALAI PONDICHERRY Pondicherry INDIA 605013","Indian Non-Government Company"
"U29197PY2002PTC001646","4-18-2002","GALACTICA WATER TREATMENT (INDIA) PRIVATE LIMITED","ACTIVE","PRIV","CLSH",1.97626258336499e-317,6.17582057301558e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","No.58, Canteen Street, Pondicherry-1 Pondicherry Pondicherry INDIA 605001","Indian Non-Government Company"
"U29197PY2006PTC001944","2-14-2006","AUROZON INDIA PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","PRIV","CLSH",4.94065645841247e-317,4.44659081257122e-317,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","A-7, INDUSTRIAL ESTATE THATTANCHAVADI PONDICHERRY Pondicherry INDIA 605009","Indian Non-Government Company"
"U29199PY1983PLC002224","4-12-1983","MAILAM INDIA LIMITED","ACTIVE","PUBC","CLSH",4.94065645841247e-316,1.28069226386739e-316,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","MAILAM MAIN ROAD SEDARAPET PUDUCHERRY Pondicherry INDIA 605111","Indian Non-Government Company"
"U29199PY1994PTC001018","11-14-1994","AURO FANS PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",4.94065645841247e-318,2.47032822920623e-318,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","107, MAIN ROAD (NEAR GOVT. HIGH SCHOOL) SEDARAPET PONDICHERRY Pondicherry INDIA 605111","Indian Non-Government Company"
"U29199PY2000PTC001551","9-12-2000","MANON FURNITURES PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","LIBRARY STREET,MURUGAMBAKKAM, PONDICHERRY - 605 004 PONDICHERRY - 605 004 Pondicherry INDIA 605004","Indian Non-Government Company"
"U29210PY1990SGC000701","9-27-1990","PONDICHERRY AGRO MACHINERY CORPN. LIMITED","STRIKE OFF","PRIV","CLSH",1.23516411460312e-317,0,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","AGRO HOUSE 111-A, M G ROADMUTHIALPET PONDICHERRY Pondicherry INDIA","State Government Company"
"U29210PY2009PTC002321","6-17-2009","GREEN INDUS AGRO-TECH PRIVATE LIMITED","ACTIVE","PRIV","CLSH",2.47032822920623e-318,2.47032822920623e-318,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","No.5, Sadish Illam,Mariamman Koil Street Kottupalayam Pondicherry Pondicherry INDIA 605008","Indian Non-Government Company"
"U29211PY1984PLC000266","6-8-1984","PL HAULWOL TRAILORS LTD","AMALGAMATED","PUBC","CLSH",4.44659081257122e-317,0,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","PLOT NO.A-23, INDL ESTATEMETTUPALAYAM PONDICHERRY Pondicherry INDIA","Indian Non-Government Company"
"U29219PY1993PTC000897","7-2-1993","AVATAR ENGINES PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",2.47032822920623e-318,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","C.16 CHANAKYA APARTMENTSPONDICHERRY-605013. PONDICHERRY-605013. Pondicherry INDIA 605013","Indian Non-Government Company"
"U29219PY1998PTC001372","1-22-1998","EVERSERVE IRRIGATION SYSTEMS PRIVATE LIMITED","DORMANT","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","NO.21,NORTH STREET,BAHOUR, PONDICHERRY-607 402. PONDICHERRY-607 402. Pondicherry INDIA 607402","Indian Non-Government Company"
