"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U55110CH1993PTC014026","21-12-1993","CAPITALS HEALTH CARE SYSTEMS PVT LTD","STRIKE OFF","Private","Company Limited by Shares","100,000.00",NA,"Chandigarh","RoC-Chandigarh",NA,"CH CHANDIGARH UT Chandigarh INDIA","Indian Non-Government Company"
"U55200CH2003PTC026355","9-09-2003","JAI PARVATI RESTAURANTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","5059/GF, MHC Manimajra Chandigarh Chandigarh INDIA 160101","Indian Non-Government Company"
"U55200CH2004PTC026750","23-01-2004","RUBY MOTORS PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","H.NO. 755SECTOR 40 CHANDIGARH u t Chandigarh INDIA","Indian Non-Government Company"
"U55200CH2005PTC027827","11-01-2005","JATTANA RESTAURANTS AND MOTELS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","SCO 96 97SECTOR 17 A CHANDIGARH u t Chandigarh INDIA","Indian Non-Government Company"
"U55200CH2005PTC028319","28-04-2005","APEX RESTAURANTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","110,000.00","110,000.00","Chandigarh","RoC-Chandigarh","Trading","SCO 7 GROUND FLOORMADHYA MARG SECTOR 26 CHANDIGARH Chandigarh INDIA 160019","Indian Non-Government Company"
"U55200CH2005PTC028392","11-05-2005","ARAV FOODS PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","COUNTER NO.1 FOOD COURTFUN REPUBLIC DHILLON COMPLEX CHANDIGARH Chandigarh INDIA","Indian Non-Government Company"
"U55200CH2005PTC028519","8-06-2005","M.N.R. FOODS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","# 3SECTOR 9 CHANDIGARH u t Chandigarh INDIA","Indian Non-Government Company"
"U55200CH2008PTC031122","7-03-2008","DEGCHI DHABA PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","SCO 303-304, SECTOR 35-B, CHANDIGARH Chandigarh INDIA 160036","Indian Non-Government Company"
"U55200CH2009PTC031793","24-09-2009","DFS HOSPITALITY PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","H.NO. 1260, RAM DARBAR PHASE-2 CHANDIGARH Chandigarh INDIA 160002","Indian Non-Government Company"
"U55200CH2010PTC032326","9-07-2010","JUJUS FOOD JUNCTION PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","H.NO. 1077 SECTOR 36-C CHANDIGARH Chandigarh INDIA 160036","Indian Non-Government Company"
"U55201CH1995PTC016723","5-07-1995","SHANGRILA RESTAURANTS AND INNS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","219,300.00","Chandigarh","RoC-Chandigarh","Trading","SCO 324SECTOR 35 B CHANDIGARH UT Chandigarh INDIA","Indian Non-Government Company"
"U55201CH2002PTC025280","16-07-2002","VANDYS INN RESTAURANT PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","100,000.00","100,000.00","Chandigarh","RoC-Chandigarh","Trading","# 1305SECTOR 49 A CHANDIGARH u t Chandigarh INDIA","Indian Non-Government Company"
