"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U25190ML2009PTC008355","26-02-2009","SRM PLASTO PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","10,000,000.00","8,612,500.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","BANKA'S LUCKIER ROAD SHILLONG Meghalaya INDIA 793002","Indian Non-Government Company"
"U25200ML2011PTC008470","18-04-2011","TISSA PLASTICS PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","1,000,000.00","100,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","Village-Amjok, Umtru Power House Road Post - Byrnihat, Byrnihat Meghalaya INDIA 793101","Indian Non-Government Company"
"U25202ML2004PTC007329","12-02-2004","SUSWANI POLY WOVEN PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","2,500,000.00","2,310,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","EPIPOPP GATE NO 2 UMTRU ROAD BYRNIHAT Meghalaya INDIA","Indian Non-Government Company"
"U25202ML2006PTC008174","13-06-2006","SEVEN SISTERS PLASTICS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","57,000,000.00","56,981,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","AMJOK UMTRU ROAD, BYRNIHAT, DIST: RI BHOI, MEGHALAYA Meghalaya INDIA 793101","Indian Non-Government Company"
"U25203ML1998PTC005485","3-08-1998","SHREE SUDARSHAN VENTURES PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","10,000,000.00","5,920,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","13 MILE RIBHOI DIST TAMULKUCHI BYRNIHAT Meghalaya INDIA 793101","Indian Non-Government Company"
"U25203ML2011PTC008456","3-02-2011","RADIANCE POLYTECH PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","100,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","C/O RAMAWATAR BAJAJ, M/S KEDARMULL AND SONS, LUCKIER ROAD, GARIKHANA SHILLONG Meghalaya INDIA 793002","Indian Non-Government Company"
"U25206ML2003PTC007291","23-12-2003","JAI PLASTECH PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","20,000,000.00","17,766,750.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","Rajabagan, MEGHALAYA. BYRNIHAT Meghalaya INDIA 793101","Indian Non-Government Company"
"U25206ML2004PTC007328","12-02-2004","SHREE KARNI POLYMERS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","2,500,000.00","1,230,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","EPIPOPP GATE NO 2 UMTRU ROAD MEGHALAYA Meghalaya INDIA","Indian Non-Government Company"
"U25206ML2004PTC007391","21-04-2004","AYE POLYMERS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","2,911,500.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","8TH MILETHEM MARWET KHANAPARA MEGHALAYA Meghalaya INDIA","Indian Non-Government Company"
"U25209ML1993PTC003995","28-09-1993","MEGHA POLYCON PVT LTD","ACTIVE","Private","Company Limited by Shares","3,500,000.00","2,830,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","UMTRU ROADBYRNIHAT RI BHOI Meghalaya INDIA 793101","Indian Non-Government Company"
"U25209ML1997PTC005191","22-09-1997","PURBANCHAL TUBES PVT LIMITED","STRIKE OFF","Private","Company Limited by Shares","2,500,000.00","4,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","12TH MILEBURNIHAT DIST RIBHOI MEGHALAYA Meghalaya INDIA 793101","Indian Non-Government Company"
"U25209ML1999PLC005962","3-12-1999","NEZONE INDUSTRIES LIMITED","ACTIVE","Public","Company Limited by Shares","35,000,000.00","34,800,050.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","PLOT-7,8,9, EPIP INDL AREA UMTRU ROAD BYRNIHAT Meghalaya INDIA 793101","Indian Non-Government Company"
"U25209ML2000PTC006215","14-06-2000","MEGHA PLASTICS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","2,500,000.00","1,880,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","UMTRU ROADBALIANBYRNIAHT Byrnighat Shillong Meghalaya INDIA 793101","Indian Non-Government Company"
"U25209ML2001PTC006589","6-08-2001","MEGHA PLAST PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","35,000,000.00","28,890,750.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","15 TH MILE G.S. ROAD BYRNIHAT Meghalaya INDIA 793101","Indian Non-Government Company"
"U25209ML2002PTC006736","29-01-2002","KAKARANIA INNOVATIVE SYSTEMS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","30,000,000.00","20,000,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","PLOT NO 33 HILL NO 4EPIP RI BHOI BYRNIHAT MEGHALAYA Meghalaya INDIA 793101","Indian Non-Government Company"
"U25209ML2006PTC008202","30-06-2006","PEARL EXTRUSION PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","1,000,000.00","450,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","GARO BHANG,LOWER BALIYAN, BYRNIHAT, MEGHALAYA. Meghalaya INDIA","Indian Non-Government Company"
"U26900ML2008PTC008485","27-05-2008","DRONAGIRI MINERALS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","10,000,000.00","2,200,000.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","FERNDILLE APARTMENT, FLAT NO. 204, WEST BLOCK, M.G.ROAD, IGP POINT SHILLONG Meghalaya INDIA 793001","Indian Non-Government Company"
