"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"L27107CT1988PLC004607","23-05-1988","MAHAMAYA STEEL INDUSTRIES LIMITED","ACTIVE","Public","Company Limited by Shares","600,000,000.00","455,704,000.00","Chhattisgarh","RoC-Chhattisgarh","Manufacturing (Metals & Chemicals, and products thereof)","B-8&9, SARORA INDUSTRIALARERA SARORA RAIPUR, Chhattisgarh INDIA 492001","Indian Non-Government Company"
"L28939CT2003PLC015964","22-07-2003","VASWANI INDUSTRIES LIMITED","ACTIVE","Public","Company Limited by Shares","300,000,000.00","286,547,000.00","Chhattisgarh","RoC-Chhattisgarh","Manufacturing (Metals & Chemicals, and products thereof)","MIG - 4, INDRAWATI COLONY RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"L29111CT1960PLC000913","3-12-1960","BHILAI ENGINEERING CORPORATION LIMITED","ACTIVE","Public","Company Limited by Shares","115,000,000.00","47,193,200.00","Chhattisgarh","RoC-Chhattisgarh","Manufacturing (Machinery & Equipments)","HATHKHOJ VILLAGE INDUSTRIAL AREA BHILAI DIST. DURG Chhattisgarh INDIA 490001","Indian Non-Government Company"
"L36101CT1989PLC005107","27-02-1989","PRATIK PANELS LIMITED","ACTIVE","Public","Company Limited by Shares","45,000,000.00","38,985,000.00","Chhattisgarh","RoC-Chhattisgarh","Manufacturing (Others)","44& 56 RAWABHATA INDUSTRIAL ESTATE, BILASPUR ROAD, RAIPUR Chhattisgarh INDIA 493221","Indian Non-Government Company"
"L51102CT1982PLC006773","24-06-1982","TOTAL HOSPITALITY LIMITED","ACTIVE","Public","Company Limited by Shares","82,000,000.00","80,634,000.00","Chhattisgarh","RoC-Chhattisgarh","Trading","Saanvi Restaurant, Narsinha Vihar, Katulbod Bhilai Chhattisgarh INDIA 490020","Indian Non-Government Company"
"L51102CT2002PLC015041","22-03-2002","MOUNTEVEREST TRADING AND INVESTMENT LIMITED","AMALGAMATED","Public","Company Limited by Shares","200,000,000.00","118,063,480.00","Chhattisgarh","RoC-Chhattisgarh","Trading","PLOT NO-216,SECTOR-C, URLA INDUSTRIAL COMPLEX, RAIPUR Chhattisgarh INDIA","Indian Non-Government Company"
"L51103CT1982PLC009717","14-09-1982","MONNET INDUSTRIES LIMITED","ACTIVE","Public","Company Limited by Shares","190,000,000.00","186,812,620.00","Chhattisgarh","RoC-Chhattisgarh","Trading","PLOT NO 216, SECTOR - C URLA INDUSTRAL COMPLEX RAIPUR Chhattisgarh INDIA 493221","Indian Non-Government Company"
"L51109CT1999PLC013620","31-05-1999","SUN-GLOW COMMERCIAL LIMITED","ACTIVE","Public","Company Limited by Shares","2,500,000.00","2,490,000.00","Chhattisgarh","RoC-Chhattisgarh","Trading","45/46, MAHALAXMI CLOTH MARKET PANDRI RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"L67120CT1982PLC001961","21-04-1982","CHHATISGARH INVESTMENTS LIMITED","ACTIVE","Public","Company Limited by Shares","10,000,000.00","2,580,000.00","Chhattisgarh","RoC-Chhattisgarh","Finance","VANIJYA BHAWAN, 1ST FLOOR, SAI NAGAR, DEVENDRA NAGAR ROAD, RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"L70102CT2002PLC015040","22-03-2002","MONNET PROJECT DEVELOPERS LIMITED","ACTIVE","Public","Company Limited by Shares","225,000,000.00","74,125,240.00","Chhattisgarh","RoC-Chhattisgarh","Real Estate and Renting","PLOT NO-216, SECTOR-C, URLA INDUSTRIAL COMPLEX, RAIPUR Chhattisgarh INDIA","Indian Non-Government Company"
"U00011CT1995PTC008935","10-01-1995","RAJDA AGRICO PVT LTD","STRIKE OFF","Private","Company Limited by Shares","500,000.00","200","Chhattisgarh","RoC-Chhattisgarh",NA,"GANJPARA DURG Chhattisgarh INDIA","Indian Non-Government Company"
"U00011CT1996PLC011321","15-10-1996","MEMORIAL GREEN EARTH PLANTATION AND DEVELOPERS (INDIA)LIMITED","STRIKE OFF","Public","Company Limited by Shares","500,000.00","70,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"Near,jut talkies, Bilaspur. C.G. BILASHPUR Chhattisgarh INDIA","Indian Non-Government Company"
"U00011CT1996PTC010389","17-01-1996","SANCHIT FARM AND FORESTRY PVT LTD","STRIKE OFF","Private","Company Limited by Shares","500,000.00","50,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"AT & P.O. KURUD TAHSIL DURUD DISTT- RAIPUR Chhattisgarh INDIA 493669","Indian Non-Government Company"
"U00011CT2005PTC017653","26-05-2005","DHURANDHAR AGRICO PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","390,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"AZAD CHOWK RAIPUR Chhattisgarh INDIA","Indian Non-Government Company"
"U00011CT2005PTC018121","21-11-2005","SHREEJI HARIT URJA PVT.LTD.","ACTIVE","Private","Company Limited by Shares","500,000.00","100,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"MAHESH NAGAR, A-1 DURG Chhattisgarh INDIA","Indian Non-Government Company"
"U00012CT1990PTC005934","24-07-1990","ANKISH FEED PRODUCTS PVT LTD","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","2,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"C- 222, SHAILENDRA NAGAR RAIPUR Chhattisgarh INDIA","Indian Non-Government Company"
"U00112CT1991PTC006257","5-02-1991","ASHIRWAD AGRICO PRODUCTS & FORESTRY PVT LTD","ACTIVE","Private","Company Limited by Shares","2,500,000.00","2,000,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"3 -CENTRAL AVENUE ROAD CHOUBEY COLONY RAIPUR Chhattisgarh INDIA 492009","Indian Non-Government Company"
"U00112CT1991PTC006293","26-02-1991","LAKSHMEE STONI MARMO PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","9,900,000.00","4,169,500.00","Chhattisgarh","RoC-Chhattisgarh",NA,"325- SAMTA COLONY RAIPUR Chhattisgarh INDIA","Indian Non-Government Company"
"U00112CT1991PTC006404","29-04-1991","ABHIVADAN AGRO FARMS PVT.LTD.","ACTIVE","Private","Company Limited by Shares","1,000,000.00","555,500.00","Chhattisgarh","RoC-Chhattisgarh",NA,"ABHIVADANPANCHSHEEL NAGAR RAIPUR raipur Chhattisgarh INDIA 492001","Indian Non-Government Company"
"U00112CT1991PTC006766","14-11-1991","TRIMURTI HORTICULTURE PVT LTD","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"20-SOUTH AVENUE CHOUBEY COLONY RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"U00112CT2000PLC014113","15-03-2000","SUMAN HATCHERIES LIMITED","ACTIVE","Public","Company Limited by Shares","17,000,000.00","16,637,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"""""DHANSHREE ESTAT"""" Behind Chair Factory, Deopuri RAIPUR Chhattisgarh INDIA 492015","Indian Non-Government Company"
"U00112CT2000PTC014114","16-03-2000","MAHAMAYA AGROTECH PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","20,000,000.00","6,830,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"PYARELAL AGARWAL MARG RAMSAGAR PARA RAIPUR Chhattisgarh INDIA","Indian Non-Government Company"
"U00112CT2004PTC017019","8-10-2004","CDM MULTI PROJECT AND SECURITIES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","2,500,000.00","1,430,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"C-15, Shailendra Nagar Opposite Bank of Baroda ATM, RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"U00112CT2004PTC017042","15-10-2004","NISARG KRISHI PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","200,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"F - 3,GROUND FLOOR, C H P L DREAM HOMES, SMRITI NAGAR BHILAI Chhattisgarh INDIA 490001","Indian Non-Government Company"
"U00112CT2005PTC017420","14-03-2005","SPICES AND HERBS EXPORTS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","500,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"KUSHGARH, SANKARA, (JONK) RAIPUR Chhattisgarh INDIA 492112","Indian Non-Government Company"
"U00112CT2005PTC017741","24-06-2005","MAHENDRA KRISHI FARMS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","20,000,000.00","4,427,000.00","Chhattisgarh","RoC-Chhattisgarh",NA,"DADA BADI, M.G. ROAD RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
