"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U31200GA1973PTC000169","10-07-1973","RATNALAYA PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","100,000.00",NA,"Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","VILLA FLORES DA SILVAERASMO CARVALHO STREET MARGOA GOA Goa INDIA 403601","Indian Non-Government Company"
"U31200GA1973PTC000182","20-11-1973","SHIRODKER JEWELLERS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","SHOP NO 4HOTEL SAMRAT BUILDING PANAJI GOA Goa INDIA 403001","Indian Non-Government Company"
"U31200GA1974PTC000191","25-04-1974","GOA-PLAST PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","25,000,000.00","21,878,500.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","VELHO BUILDING OPP.MUNCIPALGARDENS 3RD FLOOR PANAJI-GOA GARDENS PANAJI Goa INDIA 403001","Indian Non-Government Company"
"U31200GA1975PTC000219","2-05-1975","SPARK (GOA) PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","150,000.00","110,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","7 BHAILI PETH BICHOLIM BICHOLIM Goa INDIA 403504","Indian Non-Government Company"
"U31200GA1975PTC000222","30-05-1975","KATELI MINERAL EXPORTS PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","20,000,000.00","501,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","SUVARNA BANDAKAR BUILDINGSWATAN TRAPATH VASCO SWANTRA PATH VASCO DA GAMA Goa INDIA 403802","Indian Non-Government Company"
"U31200GA1976PTC000126","25-05-1976","MINAS E MINERAIS DE GOA PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,400,000.00","700,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","CHOWGULE HOUSE,MORMUGAO HARBOUR, GOA. Goa INDIA 403803","Indian Non-Government Company"
"U31200GA1976PTC000268","27-05-1976","GOA WINERY QND DISTILLERY PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","500,000.00",NA,"Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","MUGALE, NESSAI P.O.ST.JOSE DE AREAL, SALCETE Goa INDIA","Indian Non-Government Company"
"U31200GA1976PTC000279","28-06-1976","POWERTECH PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","100,000.00","12,400.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","1ST FLOOR SHANTAL ABADEFARIA ROAD MARGAO GOA Goa INDIA 403601","Indian Non-Government Company"
"U31200GA1976PTC000286","30-09-1976","SALGAOCAR INVESTMENTS PVT LTD","ACTIVE","Private","Company Limited by Shares","500,000.00","100,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","SALGAOCAR BUILDING,VASCO-DA-GAMA. VASCO-DA-GAMA. Goa INDIA","Indian Non-Government Company"
"U31200GA1976ULL000266","8-04-1976","LAXMAN BANDEKAR INVESTMENTS COMPANY.","STRIKE OFF","Public","Unlimited Company",NA,NA,"Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","ROSHAN MAHAL,SWANTANTRA PATH,,VASCO DA GAMA,GOA. ,VASCO DA GAMA,GOA. Goa INDIA","Indian Non-Government Company"
"U31200GA1977PTC000303","21-01-1977","OCEANIC PAINTS PVT LTD","ACTIVE","Private","Company Limited by Shares","5,000,000.00","4,500,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","COMMERCE CENTRE, 4TH FLOOR DR RAJENDRA PRASAD ROAD VASCO DA GAMA Goa INDIA 403802","Indian Non-Government Company"
"U31200GA1977PTC000317","30-06-1977","RAIA POROBO BHATICAR MINES PVT LTD","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","500,000.00",NA,"Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","SANGUEM, SANGUEM, GOA Goa INDIA","Indian Non-Government Company"
"U31200GA1978ULL000325","12-01-1978","P P S INVESTMENTS COMPANY.","STRIKE OFF","Public","Unlimited Company",NA,NA,"Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","203/204,NISARI BHAVAN,MENEZESBRAGANZA ROAD,PANAJI GOA. BRAGANZA ROAD,PANAJI,GOA. Goa INDIA","Indian Non-Government Company"
